category,total,passed,failed,accuracy_pct,avg_latency_ms,timestamp
extractAction,25,25,0,100.0,0,2026-06-16T13-14-38
tools,53,52,1,98.1,2,2026-06-16T13-14-38
splitMessage,35,34,1,97.1,867,2026-06-16T13-14-38
extractCityName,25,25,0,100.0,170,2026-06-16T13-14-38
extractMathExpression,25,24,1,96.0,278,2026-06-16T13-14-38
planTasks,30,28,2,93.3,1206,2026-06-16T13-14-38
extractDeliveryConstraint,25,25,0,100.0,513,2026-06-16T13-14-38
generateDesire,23,23,0,100.0,1401,2026-06-16T13-14-38
extractStackConstraint,8,8,0,100.0,1549,2026-06-16T13-14-38
extractMultiAgentCommand,22,22,0,100.0,509,2026-06-16T13-14-38
decideNextAction,44,44,0,100.0,203,2026-06-16T13-14-38
TOTAL,315,310,5,98.4,,2026-06-16T13-14-38
